capability_id,attack_object_id,attack_object_name
action.hacking.variety.Abuse of functionality,T1027.018,Invisible Unicode
action.hacking.variety.Abuse of functionality,T1059.012,Hypervisor CLI
action.hacking.variety.Abuse of functionality,T1059.013,Container CLI/API
action.hacking.variety.Abuse of functionality,T1127.003,JamPlus
action.hacking.variety.Abuse of functionality,T1505.006,vSphere Installation Bundles
action.hacking.variety.Abuse of functionality,T1564.013,Bind Mounts
action.hacking.variety.Abuse of functionality,T1564.014,Extended Attributes
action.hacking.variety.Abuse of functionality,T1569.003,Systemctl
action.hacking.variety.Abuse of functionality,T1668,Exclusive Control
action.hacking.variety.Abuse of functionality,T1671,Cloud Application Integration
action.hacking.variety.Abuse of functionality,T1675,ESXi Administration Command
action.hacking.variety.Abuse of functionality,T1678,Delay Execution
action.hacking.variety.Abuse of functionality,T1679,Selective Exclusion
Action.Hacking.Variety.CSRF,T1203,Exploitation for Client Execution
action.hacking.variety.Disable controls,T1685,Disable or Modify Tools
action.hacking.variety.Disable controls,T1685.001,Disable or Modify Windows Event Log
action.hacking.variety.Disable controls,T1685.002,Disable or Modify Cloud Log
action.hacking.variety.Disable controls,T1685.003,Modify or Spoof Tool UI
action.hacking.variety.Disable controls,T1685.004,Disable or Modify Linux Audit System Log
action.hacking.variety.Disable controls,T1685.005,Clear Windows Event Logs
action.hacking.variety.Disable controls,T1685.006,Clear Linux or Mac System Logs
action.hacking.variety.Disable controls,T1686,Disable or Modify System Firewall
action.hacking.variety.Disable controls,T1686.001,Cloud Firewall
action.hacking.variety.Disable controls,T1686.002,Network Device Firewall
action.hacking.variety.Disable controls,T1686.003,Windows Host Firewall
action.hacking.variety.Disable controls,T1688,Safe Mode Boot
action.hacking.variety.Disable controls,T1690,Prevent Command History Logging
action.hacking.variety.DoS,T1667,Email Bombing
action.hacking.variety.Evade Defenses,T1027.015,Compression
action.hacking.variety.Evade Defenses,T1027.016,Junk Code Insertion
action.hacking.variety.Evade Defenses,T1027.017,SVG Smuggling
action.hacking.variety.Evade Defenses,T1036.001,Invalid Code Signature
action.hacking.variety.Evade Defenses,T1036.002,Right-to-Left Override
action.hacking.variety.Evade Defenses,T1036.003,Rename Legitimate Utilities
action.hacking.variety.Evade Defenses,T1036.004,Masquerade Task or Service
action.hacking.variety.Evade Defenses,T1036.005,Match Legitimate Resource Name or Location
action.hacking.variety.Evade Defenses,T1036.006,Space after Filename
action.hacking.variety.Evade Defenses,T1036.007,Double File Extension
action.hacking.variety.Evade Defenses,T1036.008,Masquerade File Type
action.hacking.variety.Evade Defenses,T1036.009,Break Process Trees
action.hacking.variety.Evade Defenses,T1036.010,Masquerade Account Name
action.hacking.variety.Evade Defenses,T1036.011,Overwrite Process Arguments
action.hacking.variety.Evade Defenses,T1036.012,Browser Fingerprint
action.hacking.variety.Evade Defenses,T1564.013,Bind Mounts
action.hacking.variety.Evade Defenses,T1564.014,Extended Attributes
action.hacking.variety.Evade Defenses,T1684.002,Email Spoofing
