,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
0,veris,1.3.5,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality,related-to,T1047,Windows Management Instrumentation,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
1,veris,1.3.5,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1047,Windows Management Instrumentation,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
2,veris,1.3.5,action.malware,action.malware.vector.Direct install,Directly installed or inserted by threat agent (after system access),related-to,T1047,Windows Management Instrumentation,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
3,veris,1.3.5,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality,related-to,T1053,Scheduled Task/Job,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
4,veris,1.3.5,action.hacking,action.hacking.vector.Backdoor or C2,Backdoor or command and control channel,related-to,T1053,Scheduled Task/Job,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
5,veris,1.3.5,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality,related-to,T1053.001,Scheduled Task/Job: At (Linux),9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
6,veris,1.3.5,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality,related-to,T1053.002,Scheduled Task/Job: At (Windows),9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
7,veris,1.3.5,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality,related-to,T1053.003,Scheduled Task/Job: Cron,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
8,veris,1.3.5,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality,related-to,T1053.004,Scheduled Task/Job: Launchd,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
9,veris,1.3.5,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality,related-to,T1053.005,Scheduled Task/Job: Scheduled Task,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
10,veris,1.3.5,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality,related-to,T1053.006,Scheduled Task/Job: Systemd Timers,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
11,veris,1.3.5,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality,related-to,T1053.007,Scheduled Task/Job: Container Orchestration Job,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
12,veris,1.3.5,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality,related-to,T1059,Command and Scripting Interpreter,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
13,veris,1.3.5,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1059,Command and Scripting Interpreter,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
14,veris,1.3.5,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality,related-to,T1059.001,Command and Scripting Interpreter: PowerShell,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
15,veris,1.3.5,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1059.001,Command and Scripting Interpreter: PowerShell,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
16,veris,1.3.5,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality,related-to,T1059.002,Command and Scripting Interpreter: AppleScript,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
17,veris,1.3.5,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1059.002,Command and Scripting Interpreter: AppleScript,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
18,veris,1.3.5,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality,related-to,T1059.003,Command and Scripting Interpreter: Windows Command Shell,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
19,veris,1.3.5,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1059.003,Command and Scripting Interpreter: Windows Command Shell,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
20,veris,1.3.5,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality,related-to,T1059.004,Command and Scripting Interpreter: Unix Shell,9.0,enterprise,,,,[],,,08/26/2021,08/26/2021
